iter	Passed	Remaining
0	112	112648
1	116	58231
2	118	39399
3	121	30266
4	124	24746
5	125	20802
6	126	17995
7	128	15916
8	129	14236
9	130	12882
10	131	11781
11	131	10867
12	132	10084
13	133	9408
14	134	8825
15	136	8378
16	136	7913
17	137	7499
18	138	7134
19	138	6805
20	139	6504
21	140	6237
22	141	5999
23	141	5764
24	142	5575
25	143	5377
26	144	5193
27	144	5021
28	145	4860
29	145	4709
30	146	4566
31	146	4433
32	147	4310
33	147	4192
34	148	4080
35	148	3975
36	148	3876
37	149	3783
38	150	3714
39	151	3635
40	152	3559
41	152	3485
42	153	3414
43	153	3344
44	154	3280
45	155	3220
46	155	3160
47	156	3100
48	156	3043
49	157	2988
50	157	2935
51	158	2884
52	158	2839
53	159	2791
54	159	2745
55	160	2701
56	160	2658
57	161	2617
58	161	2577
59	162	2539
60	162	2501
61	162	2465
62	163	2430
63	163	2398
64	164	2365
65	165	2339
66	165	2310
67	166	2280
68	166	2252
69	167	2225
70	168	2199
71	168	2173
72	169	2149
73	169	2123
74	170	2098
75	170	2074
76	171	2057
77	172	2034
78	172	2012
79	173	1990
80	173	1968
81	173	1947
82	174	1924
83	174	1904
84	175	1885
85	175	1865
86	176	1847
87	176	1831
88	177	1813
89	177	1796
90	178	1779
91	178	1762
92	179	1746
93	179	1730
94	180	1723
95	181	1708
96	181	1693
97	182	1678
98	182	1664
99	183	1650
100	183	1636
101	184	1622
102	184	1609
103	185	1595
104	185	1583
105	186	1570
106	186	1557
107	187	1545
108	187	1533
109	188	1521
110	188	1509
111	188	1497
112	189	1486
113	189	1475
114	190	1464
115	190	1453
116	191	1442
117	191	1431
118	192	1421
119	192	1411
120	192	1401
121	193	1391
122	193	1381
123	194	1372
124	195	1369
125	196	1360
126	196	1350
127	197	1342
128	197	1333
129	198	1325
130	198	1316
131	198	1308
132	199	1299
133	199	1291
134	200	1283
135	201	1280
136	202	1273
137	202	1266
138	203	1259
139	203	1252
140	204	1245
141	204	1237
142	205	1230
143	205	1223
144	206	1216
145	206	1208
146	207	1201
147	207	1194
148	208	1188
149	208	1181
150	208	1174
151	209	1168
152	210	1164
153	211	1159
154	211	1154
155	212	1148
156	213	1145
157	213	1139
158	214	1134
159	214	1128
160	215	1121
161	215	1115
162	216	1109
163	216	1104
164	217	1098
165	217	1093
166	218	1087
167	218	1081
168	218	1076
169	219	1071
170	219	1065
171	220	1060
172	220	1055
173	221	1050
174	221	1045
175	222	1040
176	222	1035
177	223	1030
178	223	1025
179	224	1020
180	224	1015
181	225	1013
182	226	1009
183	226	1004
184	226	999
185	227	994
186	227	990
187	228	985
188	228	981
189	229	977
190	229	973
191	230	968
192	230	965
193	231	961
194	231	957
195	232	953
196	232	949
197	233	945
198	233	941
199	234	936
200	234	932
201	235	928
202	235	924
203	236	920
204	236	917
205	236	913
206	237	909
207	237	905
208	238	902
209	238	898
210	239	894
211	240	895
212	241	892
213	241	888
214	242	885
215	242	881
216	243	878
217	243	874
218	244	871
219	244	867
220	245	864
221	245	860
222	246	857
223	246	854
224	247	850
225	247	847
226	247	844
227	248	841
228	249	838
229	249	835
230	250	832
231	250	829
232	250	826
233	251	823
234	251	819
235	252	816
236	252	813
237	253	810
238	253	807
239	254	804
240	254	801
241	255	800
242	255	797
243	256	794
244	256	791
245	257	789
246	258	786
247	258	784
248	259	781
249	259	778
250	260	775
251	260	773
252	261	773
253	262	770
254	263	768
255	263	765
256	263	762
257	264	760
258	264	757
259	265	755
260	265	752
261	266	750
262	267	748
263	267	745
264	267	743
265	268	740
266	268	738
267	269	735
268	270	736
269	271	734
270	272	731
271	272	729
272	272	726
273	273	724
274	273	722
275	274	719
276	274	717
277	275	715
278	275	712
279	276	710
280	276	708
281	277	705
282	277	703
283	278	701
284	278	698
285	279	696
286	279	694
287	279	692
288	280	689
289	280	687
290	281	685
291	281	683
292	282	680
293	282	678
294	283	676
295	283	674
296	284	672
297	285	671
298	285	670
299	286	668
300	286	666
301	287	664
302	287	662
303	288	660
304	288	658
305	289	656
306	289	654
307	290	652
308	291	651
309	291	649
310	292	647
311	292	645
312	293	643
313	293	641
314	294	639
315	294	637
316	295	636
317	295	634
318	296	632
319	296	630
320	297	628
321	297	626
322	297	624
323	298	622
324	298	620
325	299	618
326	300	618
327	301	617
328	301	615
329	302	613
330	303	613
331	303	611
332	304	609
333	304	607
334	305	606
335	308	609
336	308	607
337	309	606
338	309	604
339	310	602
340	310	600
341	311	599
342	311	597
343	312	595
344	312	594
345	313	592
346	314	590
347	314	589
