iter	Passed	Remaining
0	53	53362
1	54	26977
2	54	18162
3	55	13739
4	55	11082
5	56	9311
6	56	8039
7	57	7089
8	57	6349
9	58	5755
10	58	5271
11	60	4945
12	60	4608
13	61	4312
14	61	4052
15	62	3845
16	65	3769
17	66	3605
18	67	3463
19	67	3331
20	68	3200
21	69	3087
22	70	2977
23	70	2873
24	71	2779
25	71	2691
26	72	2614
27	73	2538
28	73	2467
29	74	2401
30	74	2338
31	75	2280
32	76	2228
33	76	2184
34	77	2143
35	78	2106
36	79	2063
37	79	2021
38	80	1983
39	81	1959
40	82	1923
41	82	1889
42	83	1855
43	83	1824
44	84	1793
45	85	1765
46	85	1737
47	86	1711
48	87	1688
49	87	1668
50	88	1647
51	89	1628
52	90	1615
53	92	1620
54	93	1603
55	94	1585
56	94	1568
57	95	1553
58	96	1538
59	97	1520
60	97	1503
61	98	1486
62	98	1470
63	99	1462
64	100	1446
65	101	1431
66	101	1416
67	102	1402
68	102	1389
69	103	1375
70	104	1362
71	104	1349
72	105	1337
73	105	1325
74	106	1313
75	107	1307
76	108	1301
77	109	1289
78	109	1278
79	110	1266
80	110	1255
81	111	1244
82	111	1230
83	111	1219
84	112	1210
85	112	1200
86	113	1190
87	113	1181
88	114	1171
89	114	1162
90	115	1153
91	116	1145
92	116	1136
93	117	1132
94	119	1135
95	119	1128
96	120	1120
97	120	1112
98	121	1104
99	123	1113
100	124	1106
101	124	1099
102	125	1092
103	125	1084
104	126	1079
105	127	1073
106	127	1066
107	128	1059
108	128	1053
109	129	1046
110	129	1039
111	130	1033
112	130	1027
113	131	1020
114	131	1014
115	132	1008
116	132	1001
117	133	995
118	133	989
119	134	984
120	134	978
121	135	972
122	136	970
123	136	965
124	138	969
125	139	965
126	139	959
127	140	955
128	141	954
129	142	950
130	142	947
131	143	944
132	144	939
133	144	935
134	145	930
135	145	925
136	146	921
137	146	916
138	147	915
139	148	911
140	148	907
141	149	902
142	149	898
143	150	894
144	152	897
145	154	903
146	155	900
147	155	897
148	156	894
149	157	891
150	157	887
151	158	883
152	158	879
153	159	875
154	159	871
155	160	867
156	160	863
157	161	859
158	162	857
159	162	853
160	162	848
161	163	845
162	163	841
163	164	838
164	165	835
165	165	832
166	166	830
167	167	828
168	167	825
169	168	823
170	169	821
171	170	818
172	171	821
173	172	819
174	173	816
175	173	813
176	174	810
177	174	807
178	175	804
179	176	801
180	176	799
181	177	796
182	178	797
183	179	795
184	179	792
185	180	789
186	181	787
187	182	788
188	183	788
189	184	786
190	185	784
191	185	781
192	186	779
193	187	777
194	187	774
195	188	772
196	188	770
197	189	768
198	190	766
199	190	763
200	191	761
201	192	758
202	192	756
203	193	754
204	193	752
205	194	749
206	195	747
207	195	745
208	196	743
209	198	746
210	199	744
211	199	742
212	200	740
213	201	738
214	201	735
215	202	733
216	202	730
217	203	728
218	203	725
219	203	723
220	204	720
221	204	718
222	205	715
223	205	713
224	206	711
225	206	708
226	207	708
227	209	707
228	209	706
229	210	704
230	210	701
231	211	699
232	212	697
233	213	699
234	214	697
235	214	695
236	215	692
237	215	690
238	216	688
239	216	686
240	217	685
241	218	682
242	218	680
243	219	678
244	219	676
245	220	674
246	220	672
247	220	670
248	221	667
249	221	665
250	222	663
251	222	661
252	223	659
253	223	657
254	224	655
255	224	653
256	225	652
257	226	650
258	226	648
259	227	648
260	228	648
261	229	646
262	230	644
263	230	643
264	231	641
265	231	639
266	232	637
267	232	635
268	233	633
269	233	631
270	234	629
271	234	628
272	235	626
273	235	624
274	236	623
275	236	621
276	237	619
277	237	617
278	238	617
279	239	615
280	240	614
281	240	612
282	241	610
283	241	608
284	242	609
285	244	611
286	245	609
287	246	608
288	246	607
289	248	608
290	249	607
291	249	605
292	250	604
293	250	602
294	251	600
295	251	599
296	252	597
297	253	596
298	253	595
299	254	593
300	255	592
301	255	590
302	256	589
303	256	588
304	257	586
305	258	586
306	259	585
307	260	584
308	260	583
309	261	582
310	263	583
311	264	582
312	265	582
313	266	581
314	268	583
315	270	584
316	270	583
317	271	582
318	273	583
319	274	582
320	274	581
321	275	580
322	277	582
323	278	581
324	279	580
325	279	578
326	280	578
327	281	576
328	282	575
329	282	573
330	283	572
331	283	571
332	284	569
333	285	568
334	285	566
335	286	565
336	286	564
337	287	562
338	289	564
339	290	563
340	292	564
341	292	563
342	293	562
343	294	561
344	295	561
345	296	559
346	296	558
347	297	556
348	297	554
349	298	554
350	299	553
351	300	553
352	301	551
353	301	550
354	302	548
355	302	547
356	304	548
357	305	548
358	306	546
359	307	545
360	307	545
361	308	543
362	308	542
363	309	540
364	310	539
365	310	537
366	311	536
367	311	535
368	312	533
369	312	532
370	312	530
371	313	529
372	314	527
373	314	526
374	315	525
375	315	524
376	316	522
377	317	522
378	320	524
379	320	523
380	321	521
381	321	520
382	322	519
383	322	517
384	323	516
385	323	515
386	324	513
387	324	512
388	325	510
389	326	510
390	326	508
391	327	507
392	327	505
393	328	504
394	328	503
395	329	501
396	329	500
397	330	499
398	331	499
399	331	497
400	332	496
401	332	495
402	334	495
403	335	495
404	336	494
405	336	492
406	337	491
407	338	490
